year,lake,species,grand_total,comments,region,values
1998,Erie,American Eel,0,,Michigan (MI),0
1998,Erie,American Eel,0,,New York (NY),0
1998,Erie,American Eel,0,,Ohio (OH),0
1998,Erie,American Eel,0,,Pennsylvania (PA),0
1998,Erie,American Eel,0,,U.S. Total,0
1998,Erie,American Eel,0,,Canada (ONT),0
1999,Erie,American Eel,0,,Michigan (MI),0
1999,Erie,American Eel,0,,New York (NY),0
1999,Erie,American Eel,0,,Ohio (OH),0
1999,Erie,American Eel,0,,Pennsylvania (PA),0
1999,Erie,American Eel,0,,U.S. Total,0
1999,Erie,American Eel,0,,Canada (ONT),0
1885,Erie,Blue Pike,,,Michigan (MI),
1885,Erie,Blue Pike,,,New York (NY),1166
1885,Erie,Blue Pike,,,Ohio (OH),3153
1885,Erie,Blue Pike,,,Pennsylvania (PA),3570
1885,Erie,Blue Pike,,,U.S. Total,7889
1885,Erie,Blue Pike,,,Canada (ONT),
1886,Erie,Blue Pike,,,Michigan (MI),
1886,Erie,Blue Pike,,,New York (NY),
1886,Erie,Blue Pike,,,Ohio (OH),
1886,Erie,Blue Pike,,,Pennsylvania (PA),
1886,Erie,Blue Pike,,,U.S. Total,
1886,Erie,Blue Pike,,,Canada (ONT),
1887,Erie,Blue Pike,,,Michigan (MI),
1887,Erie,Blue Pike,,,New York (NY),
1887,Erie,Blue Pike,,,Ohio (OH),
1887,Erie,Blue Pike,,,Pennsylvania (PA),
1887,Erie,Blue Pike,,,U.S. Total,
1887,Erie,Blue Pike,,,Canada (ONT),
1888,Erie,Blue Pike,,,Michigan (MI),
1888,Erie,Blue Pike,,,New York (NY),
1888,Erie,Blue Pike,,,Ohio (OH),
1888,Erie,Blue Pike,,,Pennsylvania (PA),
1888,Erie,Blue Pike,,,U.S. Total,
1888,Erie,Blue Pike,,,Canada (ONT),
1889,Erie,Blue Pike,,,Michigan (MI),
1889,Erie,Blue Pike,,,New York (NY),
1889,Erie,Blue Pike,,,Ohio (OH),
1889,Erie,Blue Pike,,,Pennsylvania (PA),
1889,Erie,Blue Pike,,,U.S. Total,
1889,Erie,Blue Pike,,,Canada (ONT),
1890,Erie,Blue Pike,,,Michigan (MI),
1890,Erie,Blue Pike,,,New York (NY),288
1890,Erie,Blue Pike,,,Ohio (OH),3955
1890,Erie,Blue Pike,,,Pennsylvania (PA),3246
1890,Erie,Blue Pike,,,U.S. Total,7489
1890,Erie,Blue Pike,,,Canada (ONT),
1891,Erie,Blue Pike,,,Michigan (MI),
1891,Erie,Blue Pike,,,New York (NY),
1891,Erie,Blue Pike,,,Ohio (OH),
1891,Erie,Blue Pike,,,Pennsylvania (PA),
1891,Erie,Blue Pike,,,U.S. Total,
1891,Erie,Blue Pike,,,Canada (ONT),
1892,Erie,Blue Pike,,,Michigan (MI),
1892,Erie,Blue Pike,,,New York (NY),
1892,Erie,Blue Pike,,,Ohio (OH),
1892,Erie,Blue Pike,,,Pennsylvania (PA),
1892,Erie,Blue Pike,,,U.S. Total,
1892,Erie,Blue Pike,,,Canada (ONT),
1893,Erie,Blue Pike,,,Michigan (MI),
1893,Erie,Blue Pike,,,New York (NY),
1893,Erie,Blue Pike,,,Ohio (OH),
1893,Erie,Blue Pike,,,Pennsylvania (PA),
1893,Erie,Blue Pike,,,U.S. Total,
1893,Erie,Blue Pike,,,Canada (ONT),
1894,Erie,Blue Pike,,,Michigan (MI),
1894,Erie,Blue Pike,,,New York (NY),
1894,Erie,Blue Pike,,,Ohio (OH),
1894,Erie,Blue Pike,,,Pennsylvania (PA),
1894,Erie,Blue Pike,,,U.S. Total,
1894,Erie,Blue Pike,,,Canada (ONT),
1895,Erie,Blue Pike,,,Michigan (MI),
1895,Erie,Blue Pike,,,New York (NY),
1895,Erie,Blue Pike,,,Ohio (OH),
1895,Erie,Blue Pike,,,Pennsylvania (PA),
1895,Erie,Blue Pike,,,U.S. Total,
1895,Erie,Blue Pike,,,Canada (ONT),
1896,Erie,Blue Pike,,,Michigan (MI),
1896,Erie,Blue Pike,,,New York (NY),
1896,Erie,Blue Pike,,,Ohio (OH),
1896,Erie,Blue Pike,,,Pennsylvania (PA),
1896,Erie,Blue Pike,,,U.S. Total,
1896,Erie,Blue Pike,,,Canada (ONT),
1897,Erie,Blue Pike,,,Michigan (MI),
1897,Erie,Blue Pike,,,New York (NY),396
1897,Erie,Blue Pike,,,Ohio (OH),1787
1897,Erie,Blue Pike,,,Pennsylvania (PA),2669
1897,Erie,Blue Pike,,,U.S. Total,4852
1897,Erie,Blue Pike,,,Canada (ONT),
1898,Erie,Blue Pike,,,Michigan (MI),
1898,Erie,Blue Pike,,,New York (NY),
1898,Erie,Blue Pike,,,Ohio (OH),
1898,Erie,Blue Pike,,,Pennsylvania (PA),
1898,Erie,Blue Pike,,,U.S. Total,
1898,Erie,Blue Pike,,,Canada (ONT),
1899,Erie,Blue Pike,,,Michigan (MI),
1899,Erie,Blue Pike,,,New York (NY),809
1899,Erie,Blue Pike,,,Ohio (OH),2213
1899,Erie,Blue Pike,,,Pennsylvania (PA),1523
1899,Erie,Blue Pike,,,U.S. Total,4545
1899,Erie,Blue Pike,,,Canada (ONT),
1900,Erie,Blue Pike,,,Michigan (MI),
1900,Erie,Blue Pike,,,New York (NY),
1900,Erie,Blue Pike,,,Ohio (OH),
1900,Erie,Blue Pike,,,Pennsylvania (PA),
1900,Erie,Blue Pike,,,U.S. Total,
1900,Erie,Blue Pike,,,Canada (ONT),
1901,Erie,Blue Pike,,,Michigan (MI),
1901,Erie,Blue Pike,,,New York (NY),
1901,Erie,Blue Pike,,,Ohio (OH),
1901,Erie,Blue Pike,,,Pennsylvania (PA),
1901,Erie,Blue Pike,,,U.S. Total,
1901,Erie,Blue Pike,,,Canada (ONT),
1902,Erie,Blue Pike,,,Michigan (MI),
1902,Erie,Blue Pike,,,New York (NY),
1902,Erie,Blue Pike,,,Ohio (OH),
1902,Erie,Blue Pike,,,Pennsylvania (PA),
1902,Erie,Blue Pike,,,U.S. Total,
1902,Erie,Blue Pike,,,Canada (ONT),
1903,Erie,Blue Pike,,,Michigan (MI),
1903,Erie,Blue Pike,,,New York (NY),1003
1903,Erie,Blue Pike,,,Ohio (OH),1733
1903,Erie,Blue Pike,,,Pennsylvania (PA),2179
1903,Erie,Blue Pike,,,U.S. Total,4915
1903,Erie,Blue Pike,,,Canada (ONT),
1904,Erie,Blue Pike,,,Michigan (MI),
1904,Erie,Blue Pike,,,New York (NY),
1904,Erie,Blue Pike,,,Ohio (OH),
1904,Erie,Blue Pike,,,Pennsylvania (PA),
1904,Erie,Blue Pike,,,U.S. Total,
1904,Erie,Blue Pike,,,Canada (ONT),
1905,Erie,Blue Pike,,,Michigan (MI),
1905,Erie,Blue Pike,,,New York (NY),
1905,Erie,Blue Pike,,,Ohio (OH),
1905,Erie,Blue Pike,,,Pennsylvania (PA),
1905,Erie,Blue Pike,,,U.S. Total,
1905,Erie,Blue Pike,,,Canada (ONT),
1906,Erie,Blue Pike,,,Michigan (MI),
1906,Erie,Blue Pike,,,New York (NY),
1906,Erie,Blue Pike,,,Ohio (OH),
1906,Erie,Blue Pike,,,Pennsylvania (PA),
1906,Erie,Blue Pike,,,U.S. Total,
1906,Erie,Blue Pike,,,Canada (ONT),
1907,Erie,Blue Pike,,,Michigan (MI),
1907,Erie,Blue Pike,,,New York (NY),
1907,Erie,Blue Pike,,,Ohio (OH),
1907,Erie,Blue Pike,,,Pennsylvania (PA),
1907,Erie,Blue Pike,,,U.S. Total,
1907,Erie,Blue Pike,,,Canada (ONT),
1908,Erie,Blue Pike,,,Michigan (MI),
1908,Erie,Blue Pike,,,New York (NY),1805
1908,Erie,Blue Pike,,,Ohio (OH),4004
1908,Erie,Blue Pike,,,Pennsylvania (PA),2925
1908,Erie,Blue Pike,,,U.S. Total,8734
1908,Erie,Blue Pike,,,Canada (ONT),
1909,Erie,Blue Pike,,,Michigan (MI),
1909,Erie,Blue Pike,,,New York (NY),
1909,Erie,Blue Pike,,,Ohio (OH),
1909,Erie,Blue Pike,,,Pennsylvania (PA),
1909,Erie,Blue Pike,,,U.S. Total,
1909,Erie,Blue Pike,,,Canada (ONT),
1910,Erie,Blue Pike,,,Michigan (MI),
1910,Erie,Blue Pike,,,New York (NY),
1910,Erie,Blue Pike,,,Ohio (OH),
1910,Erie,Blue Pike,,,Pennsylvania (PA),
1910,Erie,Blue Pike,,,U.S. Total,
1910,Erie,Blue Pike,,,Canada (ONT),
1911,Erie,Blue Pike,,,Michigan (MI),
1911,Erie,Blue Pike,,,New York (NY),
1911,Erie,Blue Pike,,,Ohio (OH),
1911,Erie,Blue Pike,,,Pennsylvania (PA),
1911,Erie,Blue Pike,,,U.S. Total,
1911,Erie,Blue Pike,,,Canada (ONT),
1912,Erie,Blue Pike,,,Michigan (MI),
1912,Erie,Blue Pike,,,New York (NY),
1912,Erie,Blue Pike,,,Ohio (OH),
1912,Erie,Blue Pike,,,Pennsylvania (PA),
1912,Erie,Blue Pike,,,U.S. Total,
1912,Erie,Blue Pike,,,Canada (ONT),
1913,Erie,Blue Pike,,OH: Records cover only part of season.,Michigan (MI),
1913,Erie,Blue Pike,,OH: Records cover only part of season.,New York (NY),39
1913,Erie,Blue Pike,,OH: Records cover only part of season.,Ohio (OH),1804
1913,Erie,Blue Pike,,OH: Records cover only part of season.,Pennsylvania (PA),4000
1913,Erie,Blue Pike,,OH: Records cover only part of season.,U.S. Total,
1913,Erie,Blue Pike,,OH: Records cover only part of season.,Canada (ONT),
1914,Erie,Blue Pike,,,Michigan (MI),
1914,Erie,Blue Pike,,,New York (NY),462
1914,Erie,Blue Pike,,,Ohio (OH),8545
1914,Erie,Blue Pike,,,Pennsylvania (PA),2852
1914,Erie,Blue Pike,,,U.S. Total,11859
1914,Erie,Blue Pike,,,Canada (ONT),
1915,Erie,Blue Pike,23643,,Michigan (MI),
1915,Erie,Blue Pike,23643,,New York (NY),886
1915,Erie,Blue Pike,23643,,Ohio (OH),13079
1915,Erie,Blue Pike,23643,,Pennsylvania (PA),4796
1915,Erie,Blue Pike,23643,,U.S. Total,18761
1915,Erie,Blue Pike,23643,,Canada (ONT),4882
1916,Erie,Blue Pike,11919,,Michigan (MI),
1916,Erie,Blue Pike,11919,,New York (NY),289
1916,Erie,Blue Pike,11919,,Ohio (OH),7683
1916,Erie,Blue Pike,11919,,Pennsylvania (PA),1408
1916,Erie,Blue Pike,11919,,U.S. Total,9380
1916,Erie,Blue Pike,11919,,Canada (ONT),2539
1917,Erie,Blue Pike,2171,,Michigan (MI),
1917,Erie,Blue Pike,2171,,New York (NY),18
1917,Erie,Blue Pike,2171,,Ohio (OH),1499
1917,Erie,Blue Pike,2171,,Pennsylvania (PA),88
1917,Erie,Blue Pike,2171,,U.S. Total,1605
1917,Erie,Blue Pike,2171,,Canada (ONT),566
1918,Erie,Blue Pike,2008,,Michigan (MI),
1918,Erie,Blue Pike,2008,,New York (NY),75
1918,Erie,Blue Pike,2008,,Ohio (OH),1069
1918,Erie,Blue Pike,2008,,Pennsylvania (PA),79
1918,Erie,Blue Pike,2008,,U.S. Total,1223
1918,Erie,Blue Pike,2008,,Canada (ONT),785
1919,Erie,Blue Pike,4063,,Michigan (MI),
1919,Erie,Blue Pike,4063,,New York (NY),63
1919,Erie,Blue Pike,4063,,Ohio (OH),1532
1919,Erie,Blue Pike,4063,,Pennsylvania (PA),80
1919,Erie,Blue Pike,4063,,U.S. Total,1675
1919,Erie,Blue Pike,4063,,Canada (ONT),2388
1920,Erie,Blue Pike,7320,,Michigan (MI),
1920,Erie,Blue Pike,7320,,New York (NY),169
1920,Erie,Blue Pike,7320,,Ohio (OH),3494
1920,Erie,Blue Pike,7320,,Pennsylvania (PA),302
1920,Erie,Blue Pike,7320,,U.S. Total,3965
1920,Erie,Blue Pike,7320,,Canada (ONT),3355
1921,Erie,Blue Pike,15311,,Michigan (MI),
1921,Erie,Blue Pike,15311,,New York (NY),367
1921,Erie,Blue Pike,15311,,Ohio (OH),5836
1921,Erie,Blue Pike,15311,,Pennsylvania (PA),2741
1921,Erie,Blue Pike,15311,,U.S. Total,8944
1921,Erie,Blue Pike,15311,,Canada (ONT),6367
1922,Erie,Blue Pike,16673,,Michigan (MI),
1922,Erie,Blue Pike,16673,,New York (NY),565
1922,Erie,Blue Pike,16673,,Ohio (OH),7202
1922,Erie,Blue Pike,16673,,Pennsylvania (PA),2593
1922,Erie,Blue Pike,16673,,U.S. Total,10360
1922,Erie,Blue Pike,16673,,Canada (ONT),6313
1923,Erie,Blue Pike,12877,,Michigan (MI),
1923,Erie,Blue Pike,12877,,New York (NY),642
1923,Erie,Blue Pike,12877,,Ohio (OH),6028
1923,Erie,Blue Pike,12877,,Pennsylvania (PA),3013
1923,Erie,Blue Pike,12877,,U.S. Total,9683
1923,Erie,Blue Pike,12877,,Canada (ONT),3194
1924,Erie,Blue Pike,11955,,Michigan (MI),
1924,Erie,Blue Pike,11955,,New York (NY),527
1924,Erie,Blue Pike,11955,,Ohio (OH),5363
1924,Erie,Blue Pike,11955,,Pennsylvania (PA),3077
1924,Erie,Blue Pike,11955,,U.S. Total,8967
1924,Erie,Blue Pike,11955,,Canada (ONT),2988
1925,Erie,Blue Pike,7377,,Michigan (MI),
1925,Erie,Blue Pike,7377,,New York (NY),
1925,Erie,Blue Pike,7377,,Ohio (OH),4047
1925,Erie,Blue Pike,7377,,Pennsylvania (PA),
1925,Erie,Blue Pike,7377,,U.S. Total,4047
1925,Erie,Blue Pike,7377,,Canada (ONT),3330
1926,Erie,Blue Pike,12315,,Michigan (MI),
1926,Erie,Blue Pike,12315,,New York (NY),2170
1926,Erie,Blue Pike,12315,,Ohio (OH),4234
1926,Erie,Blue Pike,12315,,Pennsylvania (PA),2936
1926,Erie,Blue Pike,12315,,U.S. Total,9340
1926,Erie,Blue Pike,12315,,Canada (ONT),2975
1927,Erie,Blue Pike,10380,,Michigan (MI),
1927,Erie,Blue Pike,10380,,New York (NY),475
1927,Erie,Blue Pike,10380,,Ohio (OH),4637
1927,Erie,Blue Pike,10380,,Pennsylvania (PA),2190
1927,Erie,Blue Pike,10380,,U.S. Total,7302
1927,Erie,Blue Pike,10380,,Canada (ONT),3078
1928,Erie,Blue Pike,6923,,Michigan (MI),
1928,Erie,Blue Pike,6923,,New York (NY),449
1928,Erie,Blue Pike,6923,,Ohio (OH),3743
1928,Erie,Blue Pike,6923,,Pennsylvania (PA),627
1928,Erie,Blue Pike,6923,,U.S. Total,4819
1928,Erie,Blue Pike,6923,,Canada (ONT),2104
1929,Erie,Blue Pike,5359,,Michigan (MI),
1929,Erie,Blue Pike,5359,,New York (NY),305
1929,Erie,Blue Pike,5359,,Ohio (OH),1803
1929,Erie,Blue Pike,5359,,Pennsylvania (PA),713
1929,Erie,Blue Pike,5359,,U.S. Total,2821
1929,Erie,Blue Pike,5359,,Canada (ONT),2538
1930,Erie,Blue Pike,17690,,Michigan (MI),
1930,Erie,Blue Pike,17690,,New York (NY),564
1930,Erie,Blue Pike,17690,,Ohio (OH),9017
1930,Erie,Blue Pike,17690,,Pennsylvania (PA),2211
1930,Erie,Blue Pike,17690,,U.S. Total,11792
1930,Erie,Blue Pike,17690,,Canada (ONT),5898
1931,Erie,Blue Pike,18000,,Michigan (MI),
1931,Erie,Blue Pike,18000,,New York (NY),1103
1931,Erie,Blue Pike,18000,,Ohio (OH),7849
1931,Erie,Blue Pike,18000,,Pennsylvania (PA),3690
1931,Erie,Blue Pike,18000,,U.S. Total,12642
1931,Erie,Blue Pike,18000,,Canada (ONT),5358
1932,Erie,Blue Pike,13828,,Michigan (MI),
1932,Erie,Blue Pike,13828,,New York (NY),475
1932,Erie,Blue Pike,13828,,Ohio (OH),7784
1932,Erie,Blue Pike,13828,,Pennsylvania (PA),1607
1932,Erie,Blue Pike,13828,,U.S. Total,9866
1932,Erie,Blue Pike,13828,,Canada (ONT),3962
1933,Erie,Blue Pike,12938,,Michigan (MI),
1933,Erie,Blue Pike,12938,,New York (NY),304
1933,Erie,Blue Pike,12938,,Ohio (OH),6735
1933,Erie,Blue Pike,12938,,Pennsylvania (PA),1747
1933,Erie,Blue Pike,12938,,U.S. Total,8786
1933,Erie,Blue Pike,12938,,Canada (ONT),4152
1934,Erie,Blue Pike,10654,,Michigan (MI),
1934,Erie,Blue Pike,10654,,New York (NY),459
1934,Erie,Blue Pike,10654,,Ohio (OH),5765
1934,Erie,Blue Pike,10654,,Pennsylvania (PA),2132
1934,Erie,Blue Pike,10654,,U.S. Total,8356
1934,Erie,Blue Pike,10654,,Canada (ONT),2298
1935,Erie,Blue Pike,14750,,Michigan (MI),
1935,Erie,Blue Pike,14750,,New York (NY),460
1935,Erie,Blue Pike,14750,,Ohio (OH),7142
1935,Erie,Blue Pike,14750,,Pennsylvania (PA),2084
1935,Erie,Blue Pike,14750,,U.S. Total,9686
1935,Erie,Blue Pike,14750,,Canada (ONT),5064
1936,Erie,Blue Pike,26787,,Michigan (MI),
1936,Erie,Blue Pike,26787,,New York (NY),624
1936,Erie,Blue Pike,26787,,Ohio (OH),16447
1936,Erie,Blue Pike,26787,,Pennsylvania (PA),2837
1936,Erie,Blue Pike,26787,,U.S. Total,19908
1936,Erie,Blue Pike,26787,,Canada (ONT),6879
1937,Erie,Blue Pike,20317,,Michigan (MI),
1937,Erie,Blue Pike,20317,,New York (NY),1638
1937,Erie,Blue Pike,20317,,Ohio (OH),7020
1937,Erie,Blue Pike,20317,,Pennsylvania (PA),2304
1937,Erie,Blue Pike,20317,,U.S. Total,10962
1937,Erie,Blue Pike,20317,,Canada (ONT),9355
1938,Erie,Blue Pike,15818,,Michigan (MI),
1938,Erie,Blue Pike,15818,,New York (NY),1064
1938,Erie,Blue Pike,15818,,Ohio (OH),6154
1938,Erie,Blue Pike,15818,,Pennsylvania (PA),1442
1938,Erie,Blue Pike,15818,,U.S. Total,8660
1938,Erie,Blue Pike,15818,,Canada (ONT),7158
1939,Erie,Blue Pike,14960,,Michigan (MI),
1939,Erie,Blue Pike,14960,,New York (NY),529
1939,Erie,Blue Pike,14960,,Ohio (OH),7263
1939,Erie,Blue Pike,14960,,Pennsylvania (PA),1257
1939,Erie,Blue Pike,14960,,U.S. Total,9049
1939,Erie,Blue Pike,14960,,Canada (ONT),5911
1940,Erie,Blue Pike,6963,,Michigan (MI),
1940,Erie,Blue Pike,6963,,New York (NY),97
1940,Erie,Blue Pike,6963,,Ohio (OH),4541
1940,Erie,Blue Pike,6963,,Pennsylvania (PA),313
1940,Erie,Blue Pike,6963,,U.S. Total,4951
1940,Erie,Blue Pike,6963,,Canada (ONT),2012
1941,Erie,Blue Pike,4831,,Michigan (MI),8
1941,Erie,Blue Pike,4831,,New York (NY),33
1941,Erie,Blue Pike,4831,,Ohio (OH),3029
1941,Erie,Blue Pike,4831,,Pennsylvania (PA),217
1941,Erie,Blue Pike,4831,,U.S. Total,3287
1941,Erie,Blue Pike,4831,,Canada (ONT),1544
1942,Erie,Blue Pike,10627,,Michigan (MI),4
1942,Erie,Blue Pike,10627,,New York (NY),98
1942,Erie,Blue Pike,10627,,Ohio (OH),5296
1942,Erie,Blue Pike,10627,,Pennsylvania (PA),824
1942,Erie,Blue Pike,10627,,U.S. Total,6222
1942,Erie,Blue Pike,10627,,Canada (ONT),4405
1943,Erie,Blue Pike,20842,,Michigan (MI),
1943,Erie,Blue Pike,20842,,New York (NY),809
1943,Erie,Blue Pike,20842,,Ohio (OH),8055
1943,Erie,Blue Pike,20842,,Pennsylvania (PA),2364
1943,Erie,Blue Pike,20842,,U.S. Total,11228
1943,Erie,Blue Pike,20842,,Canada (ONT),9614
1944,Erie,Blue Pike,24323,,Michigan (MI),
1944,Erie,Blue Pike,24323,,New York (NY),1526
1944,Erie,Blue Pike,24323,,Ohio (OH),11278
1944,Erie,Blue Pike,24323,,Pennsylvania (PA),2129
1944,Erie,Blue Pike,24323,,U.S. Total,14933
1944,Erie,Blue Pike,24323,,Canada (ONT),9390
1945,Erie,Blue Pike,14331,,Michigan (MI),
1945,Erie,Blue Pike,14331,,New York (NY),843
1945,Erie,Blue Pike,14331,,Ohio (OH),5167
1945,Erie,Blue Pike,14331,,Pennsylvania (PA),1762
1945,Erie,Blue Pike,14331,,U.S. Total,7772
1945,Erie,Blue Pike,14331,,Canada (ONT),6559
1946,Erie,Blue Pike,4922,,Michigan (MI),1
1946,Erie,Blue Pike,4922,,New York (NY),111
1946,Erie,Blue Pike,4922,,Ohio (OH),2550
1946,Erie,Blue Pike,4922,,Pennsylvania (PA),351
1946,Erie,Blue Pike,4922,,U.S. Total,3013
1946,Erie,Blue Pike,4922,,Canada (ONT),1909
1947,Erie,Blue Pike,4766,,Michigan (MI),1
1947,Erie,Blue Pike,4766,,New York (NY),78
1947,Erie,Blue Pike,4766,,Ohio (OH),2896
1947,Erie,Blue Pike,4766,,Pennsylvania (PA),145
1947,Erie,Blue Pike,4766,,U.S. Total,3120
1947,Erie,Blue Pike,4766,,Canada (ONT),1646
1948,Erie,Blue Pike,14745,,Michigan (MI),20
1948,Erie,Blue Pike,14745,,New York (NY),553
1948,Erie,Blue Pike,14745,,Ohio (OH),6957
1948,Erie,Blue Pike,14745,,Pennsylvania (PA),1473
1948,Erie,Blue Pike,14745,,U.S. Total,9003
1948,Erie,Blue Pike,14745,,Canada (ONT),5742
1949,Erie,Blue Pike,23784,,Michigan (MI),
1949,Erie,Blue Pike,23784,,New York (NY),905
1949,Erie,Blue Pike,23784,,Ohio (OH),10616
1949,Erie,Blue Pike,23784,,Pennsylvania (PA),2479
1949,Erie,Blue Pike,23784,,U.S. Total,14000
1949,Erie,Blue Pike,23784,,Canada (ONT),9784
1950,Erie,Blue Pike,14801,,Michigan (MI),
1950,Erie,Blue Pike,14801,,New York (NY),178
1950,Erie,Blue Pike,14801,,Ohio (OH),4900
1950,Erie,Blue Pike,14801,,Pennsylvania (PA),1112
1950,Erie,Blue Pike,14801,,U.S. Total,6190
1950,Erie,Blue Pike,14801,,Canada (ONT),8611
1951,Erie,Blue Pike,6064,,Michigan (MI),
1951,Erie,Blue Pike,6064,,New York (NY),109
1951,Erie,Blue Pike,6064,,Ohio (OH),1867
1951,Erie,Blue Pike,6064,,Pennsylvania (PA),174
1951,Erie,Blue Pike,6064,,U.S. Total,2150
1951,Erie,Blue Pike,6064,,Canada (ONT),3914
1952,Erie,Blue Pike,14037,,Michigan (MI),0
1952,Erie,Blue Pike,14037,,New York (NY),158
1952,Erie,Blue Pike,14037,,Ohio (OH),5531
1952,Erie,Blue Pike,14037,,Pennsylvania (PA),1081
1952,Erie,Blue Pike,14037,,U.S. Total,6770
1952,Erie,Blue Pike,14037,,Canada (ONT),7267
1953,Erie,Blue Pike,18375,,Michigan (MI),
1953,Erie,Blue Pike,18375,,New York (NY),265
1953,Erie,Blue Pike,18375,,Ohio (OH),6853
1953,Erie,Blue Pike,18375,,Pennsylvania (PA),924
1953,Erie,Blue Pike,18375,,U.S. Total,8042
1953,Erie,Blue Pike,18375,,Canada (ONT),10333
1954,Erie,Blue Pike,14395,,Michigan (MI),
1954,Erie,Blue Pike,14395,,New York (NY),319
1954,Erie,Blue Pike,14395,,Ohio (OH),4576
1954,Erie,Blue Pike,14395,,Pennsylvania (PA),1349
1954,Erie,Blue Pike,14395,,U.S. Total,6244
1954,Erie,Blue Pike,14395,,Canada (ONT),8151
1955,Erie,Blue Pike,19685,,Michigan (MI),
1955,Erie,Blue Pike,19685,,New York (NY),1634
1955,Erie,Blue Pike,19685,,Ohio (OH),3679
1955,Erie,Blue Pike,19685,,Pennsylvania (PA),2335
1955,Erie,Blue Pike,19685,,U.S. Total,7648
1955,Erie,Blue Pike,19685,,Canada (ONT),12037
1956,Erie,Blue Pike,18857,,Michigan (MI),
1956,Erie,Blue Pike,18857,,New York (NY),921
1956,Erie,Blue Pike,18857,,Ohio (OH),4703
1956,Erie,Blue Pike,18857,,Pennsylvania (PA),1231
1956,Erie,Blue Pike,18857,,U.S. Total,6855
1956,Erie,Blue Pike,18857,,Canada (ONT),12002
1957,Erie,Blue Pike,10370,,Michigan (MI),
1957,Erie,Blue Pike,10370,,New York (NY),437
1957,Erie,Blue Pike,10370,,Ohio (OH),2915
1957,Erie,Blue Pike,10370,,Pennsylvania (PA),629
1957,Erie,Blue Pike,10370,,U.S. Total,3981
1957,Erie,Blue Pike,10370,,Canada (ONT),6389
1958,Erie,Blue Pike,1400,,Michigan (MI),
1958,Erie,Blue Pike,1400,,New York (NY),136
1958,Erie,Blue Pike,1400,,Ohio (OH),366
1958,Erie,Blue Pike,1400,,Pennsylvania (PA),74
1958,Erie,Blue Pike,1400,,U.S. Total,576
1958,Erie,Blue Pike,1400,,Canada (ONT),824
1959,Erie,Blue Pike,79,,Michigan (MI),
1959,Erie,Blue Pike,79,,New York (NY),7
1959,Erie,Blue Pike,79,,Ohio (OH),20
1959,Erie,Blue Pike,79,,Pennsylvania (PA),5
1959,Erie,Blue Pike,79,,U.S. Total,32
1959,Erie,Blue Pike,79,,Canada (ONT),47
1960,Erie,Blue Pike,11,,Michigan (MI),
1960,Erie,Blue Pike,11,,New York (NY),0
1960,Erie,Blue Pike,11,,Ohio (OH),7
1960,Erie,Blue Pike,11,,Pennsylvania (PA),0
1960,Erie,Blue Pike,11,,U.S. Total,7
1960,Erie,Blue Pike,11,,Canada (ONT),4
1961,Erie,Blue Pike,2,,Michigan (MI),
1961,Erie,Blue Pike,2,,New York (NY),0
1961,Erie,Blue Pike,2,,Ohio (OH),2
1961,Erie,Blue Pike,2,,Pennsylvania (PA),0
1961,Erie,Blue Pike,2,,U.S. Total,2
